Index,Number,Street Name,Details,Region,city,state
1,109,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,110,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,111,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,112,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,113,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,114,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,115,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,116,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,117,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,118,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
1,119,East Ann Street,Hoban Block,D,Ann Arbor,Michigan
2,201,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,202,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,203,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,204,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,205,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,206,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,207,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,208,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,209,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,210,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
2,211,East Ann Street,Washtenaw Bank,D,Ann Arbor,Michigan
3,223,East Ann Street,Ann Arbor Armory,D,Ann Arbor,Michigan
4,311,East Ann Street,James F. Royce House,D,Ann Arbor,Michigan
5,317,East Ann Street,George Corselius House,D,Ann Arbor,Michigan
6,511,East Ann Street,Willcoxson-Easton House,D,Ann Arbor,Michigan
7,712,East Ann Street,Moses and Jane Gunn House,D,Ann Arbor,Michigan
8,920,East Ann Street,Keating Family House,D,Ann Arbor,Michigan
9,1127,East Ann Street,Planada Apartments,D,Ann Arbor,Michigan
10,1308,East Ann Street,Detroit Observatory,D,Ann Arbor,Michigan
11,210,South Ashley Street,Herder Brothers,D,Ann Arbor,Michigan
12,416,South Ashley Street,"Toledo,Ann Arbor and Northern Michigan Railway Depot",D,Ann Arbor,Michigan
13,1000,Berkshire Road,Harry and Margaret Towsley House,E,Ann Arbor,Michigan
14,1001,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
14,1002,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
14,1003,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
14,1004,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
14,1005,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
14,1006,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
14,1007,Broadway Street,Anson Brown Building,N,Ann Arbor,Michigan
15,201,Catherine Street,Davis Block-Agricultural Hall,D,Ann Arbor,Michigan
16,216,Catherine Street,Anton Eisele House,D,Ann Arbor,Michigan
